linux	72255308	767b9de1b041a947637817064b17fd5a223d9b2156f409cb2350149ab6e75ffa	2026-09-08T23:02Z	4.7.2.stable.mono.arch_linux.ed1daf0bf	restricted	ALPHA	hosted	default	false	0.0.2
macos-arm64	72528103	3d06e073c0357cc15da4a7087530e0362af0bf0af0c9b2138826a36af33e56a8	2026-09-08T23:03Z	4.7.2.stable.mono.arch_linux.ed1daf0bf	restricted	ALPHA	hosted	default	false	0.0.2
macos-x86_64	77102720	f9c14fe66acf22e025bc29995fa6a065d838b1018c93acc54065358f1003003b	2026-09-08T23:03Z	4.7.2.stable.mono.arch_linux.ed1daf0bf	restricted	ALPHA	hosted	default	false	0.0.2
windows	82766633	88ed2767b97d7f7d44286cb17b977ce2fc52aced7f2baaf5dd0e2b0f45b4e439	2026-09-08T23:02Z	4.7.2.stable.mono.arch_linux.ed1daf0bf	restricted	ALPHA	hosted	default	false	0.0.2
